id_proprietario,partita_iva
626,92888226898
627,05744966926
628,58637869676
629,58981525898
630,58022570385
631,29294785336
632,57302222768
633,49844963263
634,95454106403
635,13410731709
636,03423385728
637,85928476420
638,61654325433
639,29074351490
640,56898981777
641,13529320679
642,94808259241
643,25724185221
644,19604849464
645,65408933811
646,38161506826
647,08442927772
648,32462790924
649,19576931310
650,86559097622
651,10450858935
652,59102566003
653,90298574306
654,82207409716
655,29364770473
656,02293238012
657,82690594486
658,67133709891
659,03544173449
660,19939072324
661,06992471040
662,10304525574
663,49457902556
664,82092500778
665,06407270257
666,82687834694
667,45660015627
668,39908579362
669,94473585386
670,29791834082
671,12452726104
672,14556311463
673,03621892242
674,72131539528
675,47305492283
676,60624462814
677,02879013256
678,74558756542
679,83566178295
680,87512518475
681,01293526672
682,90334478784
683,72394693735
684,17079346437
685,46916846506
686,87927163536
687,21482246347
688,32411704147
689,57449181861
690,22126389429
691,26901183223
692,08562247796
693,75688698632
694,51795823863
695,59201992259
696,39204855881
697,59576886952
698,47801046370
699,00228858053
700,83132815878
701,74526318629
702,83870206474
703,10321270645
704,59154104050
705,47210264011
706,35515978323
707,69163893891
708,51980574972
709,62457515040
710,66336469456
711,01522596785
712,37225389927
713,47219053920
714,86740605870
715,16548242679
716,96089623358
717,13719656372
718,36615313131
719,22670823597
720,90579440576
721,00114093129
722,49191291210
723,10471888029
724,35974383418
725,46848546642
726,42206440946
727,52280187569
728,74423475684
729,58464114108
730,71619281369
731,19294348338
732,50379747053
733,50092842746
734,69844134923
735,85375176462
736,59327914221
737,93890664261
738,26819101508
739,91388819961
740,37878496825
741,11490934128
742,65816991305
743,08646626193
744,58901871259
745,00924395215
746,15777209165
747,11647748726
748,02804276583
749,89454734401
750,01890498050
751,23738418344
752,80958455311
753,63010703369
754,15461100402
755,84192580742
756,97211546430
757,29183637012
758,32100480280
759,10702970130
760,34172870978
761,92305574019
762,97434524194
763,35506286248
764,59430135975
765,21494790397
766,02295267941
767,23871783015
768,47950001893
769,22162924047
770,31579537216
771,78821017519
772,72135187663
773,53216347504
774,17689595376
775,39497137868
776,49621982353
777,14126353375
778,32780174590
779,82174487443
780,47452122342
781,93701257709
782,75281780084
783,94060796237
784,35171887048
785,99854723368
786,07987541180
787,53583888814
788,06914691059
789,23118863015
790,93588390722
791,51858028349
792,57584900597
793,61030291342
794,82836523980
795,30283366752
796,31065935854
797,76120481441
798,67051907250
799,09804148051
800,37577994777
801,84434609087
802,13947813156
803,84167629228
804,83273953190
805,12005585457
806,11314758745
807,88824410607
808,04100477619
809,30230021663
810,59556690791
811,23083397320
812,23681471943
813,08091168020
814,94544132235
815,93268154188
816,38836763289
817,67291777441
818,31905665747
819,90749973004
820,61755240924
821,91374851408
822,50312363884
823,74245684119
